AudioID,AudioName,Explain
音频ID,音频名称,备注
1001,roomlist,场景背景音乐
1002,colletctGold,金币向自己飞的音效
1003,deathbomb_1,补中小特效音效
1004,deathbomb_2,补中大特效音效
1005,AddGun,炮出现切换
1006,click,按钮点击
1007,boss_warning,boss出现预警
2001,fishdeath_1,女哼你就只会欺负小孩
2002,fishdeath_2,女你就呢么不待见我吗
2003,fishdeath_3,女哼这里有人欺负我
2004,fishdeath_4,女总有一天我要让你付出代价
2005,fishdeath_5,男啊
2006,fishdeath_6,哼唧哼唧
2007,qpby_1,男不要啊
2008,qpby_2,男大侠请手下留情啊
2009,qpby_3,男哎呀我的天哪
2010,qpby_4,男你下手怎么这么狠
2011,qpby_5,男我不甘心
2012,qpby_6,男哦no
2013,qpby_7,男谁谁不要啊
2014,qpby_8,男这你都能打到我
2015,bossdeath_2,boss死亡
2016,bossdeath_3,boss死亡
2017,gun_fire_1,开火音效1
