FishID,FishPrefab,Speed,HitRate,multiple,comment,Class,ClassMaxNum,FishMaxNum,Path,AudioAttacked,AudioDeath,Talk,BindFishID,time,SkillRate,FishType,FishName,FishIcon,Rotation,birth,Describe
鱼ID,鱼的资源,鱼群|速度,命中率,倍率,备注,种类,种类最大数量,鱼最大数量,可选路径,受击音效,死亡音效,对话,一网打尽ID,刷新间隔,技能掉落几率,普通特殊,鱼名称,鱼图标,旋转类型,是否刷新,鱼描述
1,fish_huang,0|20,4500,2,小黄鱼,1,16,4,101|102|103|104|105|106|201|202,,,,,,900,1,小黄鱼,1,1,1,2倍
2,fish_xiao2,0|18@4|12,4500,2,小鱼大眼,1,16,4,301|302|303|304|305|306|307|308,,,,,,900,1,大眼鱼,2,1,1,2倍
3,fish_xiao3,0|18@3|10@4|12,3000,3,蝴蝶鱼,1,16,4,401|402|403|404|405|406|203|204,,,,,,900,1,蝴蝶鱼,3,1,1,3倍
4,fish_xiao4,0|16@2|8@3|10,3000,3,大头鱼蓝,1,16,4,501|502|503|504|505|506|507|508,,,,,,900,1,蓝头鱼,4,1,1,3倍
20,fish_xiaochou,0|12@3|10,1840,5,小丑鱼,2,13,3,1201|1202|1203,,,,,,900,1,小丑鱼,20,1,1,5倍
21,fish_bianRedY,0|14@1|14@4|12,1150,8,鳊红黄斑马纹,2,13,3,601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616,,,,,,900,1,尖嘴鱼,21,1,1,8倍
22,fish_xiaoLan,0|14@1|14@3|10@4|12,940,10,蓝色白斑点,2,13,3,601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616,,,,,,900,1,白斑鱼,22,1,1,10倍
23,fish_bian,0|14@1|14,783,12,鳊鱼,2,13,3,601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616,,,,,,900,1,鳊鱼,23,1,1,12倍
30,fish_Ice,0|12@2|8,671,14,冰鱼,3,9,3,1701|1702|1703|1704|1705|1706|1707|1708,,,,,,900,1,冰鱼,30,1,1,14倍
31,fish_paopao,0|12@1|14@2|8,593,16,泡泡黄鱼男,3,9,3,1301|1302|1303|1304|1305|1306|1307|1308|1309|1310|1311|1312|1313|1314|1315|1316,,,,,,900,1,大嘴鱼,31,1,1,16倍
32,fish_Redjinyu,0|14@3|10,527,18,红金鱼,3,9,3,601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616,,,,,,900,1,红金鱼,32,1,1,18倍
40,fish_hetun,0|12@2|8@4|12,480,20,河豚,4,9,3,1301|1302|1303|1304|1305|1306|1307|1308|1309|1310|1311|1312|1313|1314|1315|1316,,,,,,900,1,河豚,40,1,1,20倍
41,fish_denglongyu,0|12@1|14,384,25,灯笼鱼,4,9,3,1301|1302|1303|1304|1305|1306|1307|1308|1309|1310|1311|1312|1313|1314|1315|1316,,,,,,900,1,灯笼鱼,41,1,1,25倍
42,fish_hudie,0|14@2|8,320,30,蝴蝶斑纹鱼,4,9,3,601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616,,2001,,,,900,1,狮子鱼,42,1,1,30倍
50,fish_daiyu,0|14,274,35,带鱼,5,4,2,601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616,,,,,,900,1,鳗鱼,50,1,1,35倍
51,fish_datou,0|14,242,40,大头鱼红白,5,4,2,1301|1302|1303|1304|1305|1306|1307|1308|1309|1310|1311|1312|1313|1314|1315|1316,,,,,,900,1,大头鱼,51,1,1,40倍
60,fish_Turtle,0|10,194,50,海龟,6,5,2,1801|1802|1803|1804|1805|1806,,2008,5|2|看我游的快不,,,900,1,海龟,60,1,1,50倍
61,fish_jianyu,0|10,161,60,剑鱼,6,5,2,1901|1902|1903|1904|1905|1906,,2007,5|2|来打我啊,,,900,1,剑鱼,61,1,1,60倍
62,fish_bianfuyu,0|10@4|5@2|8,138,70,蝙蝠鱼,6,5,2,2101|2102|2103|2104|2105|2106|2107|2108|2109|2110,,2010,,,,900,1,魔鬼鱼,62,1,1,70倍
70,fish_BlueShayu,0|8@4|5,121,80,蓝色鲨鱼,7,2,1,2201|2202|2203|2204|2205,,2012,5|4|打不中我,,,900,1,鲨鱼,70,1,1,80倍
71,fish_BlueChuitousha,0|6@4|5,98,100,锤头鲨鱼,7,2,1,2301|2302|2303|2304|2305,,2013,5|4|我不怕你,,,900,1,锤头鲨,71,1,1,100倍
72,fish_boss_BlueShayu,0|4,83,120,鲨鱼—BOSS2号,8,1,1,16001|16002,,2013,5|4|要金币就来吧,,,,1,黄金鲨鱼,160,1,1,120倍
73,fish_boss_BlueChuitousha,0|4,66,150,锤头鲨鱼—BOSS1号,8,1,1,16101|16102,,2013,5|4|打不中我,,,,1,黄金锤头鲨,161,1,1,150倍
100,fish_w_xiao3,0|5@3|10,1088,3,蝴蝶鱼—网,102,2,1,10001|10002,,,,3,30,,,蝴蝶鱼—网,,1,1,捕中全场同类鱼
101,fish_w_xiao4,0|5@2|8@3|10,1088,3,大头鱼蓝—网,102,2,1,10101|10102,,,,4,30,,,大头鱼蓝—网,,1,1,捕中全场同类鱼
102,fish_w_bian,0|5,272,12,鳊鱼—网,102,2,1,10201|10202,,,,23,30,,,鳊鱼—网,,1,1,捕中全场同类鱼
103,fish_w_xiaoLan,0|5@1|14@3|10@4|12,326,10,蓝色白斑点—网,102,2,1,10301|10302,,,,22,30,,,蓝色白斑点—网,,1,1,捕中全场同类鱼
120,fish_t_hetun,0|5,163,20,河豚—铁,103,3,3,12001|12002|12003,,,,,45,,,河豚—铁,,1,1,20倍
121,fish_t_paopao,0|5,204,16,泡泡黄鱼男—铁,103,3,3,12101|12102|12103,,,,,45,,,泡泡黄鱼男—铁,,1,1,16倍
122,fish_t_denglongyu,0|5,130,25,灯笼鱼—铁,103,3,3,12201|12202|12203,,,,,45,,,灯笼鱼—铁,,1,1,25倍
140,fish_bomb,0|6,14,1,炸弹鱼—炸弹,104,1,1,14001|14002|14003,,,,,120,,2,炸弹鱼,140,1,1,范围伤害
162,fish_octopus,0|1,52,180,boss—章鱼,106,1,0,16201|16202,,,5|4|章鱼,,17,,2,大章鱼,162,0,0,180倍
163,fish_pen,0|1,5,0,boss—聚宝盆,107,1,1,2401,,,5|4|聚宝盆,,9,,2,聚宝盆,163,0,1,随机倍数
