AudioID,AudioName,Explain
音频ID,音频名称,备注
1000,vote,下注阶段背景音乐
1001,Rotate_start,旋转开始前音效一一下注倒计时3秒时播放
1002,Rotate_Loop,旋转普通背景音乐一一旋转开始时播放
1003,Rotate_MyGirl,旋转大四喜背景音乐一一旋转开始时播放
1004,Rotate_Superhero,旋转大三元一一旋转开始时播放
1005,Rotate_meifeisiwu,旋转跳枪一一旋转开始时播放
1006,result_lose,结算界面没中奖
1007,result_win,结算界面中奖
1008,Text_zhuang,庄
1009,Text_he,和
1010,Text_xian,闲
1011,lion,狮子叫跳到中间时候播放
1012,lion_red,红色狮子旋转停止时播放
1013,lion_green,绿色狮子
1014,lion_yellow,黄色狮子
1015,panda,熊猫叫
1016,panda_red,红色熊猫
1017,panda_green,绿色熊猫
1018,panda_yellow,黄色熊猫
1019,monkey,猴子叫
1020,monkey_red,红色猴子
1021,monkey_green,绿色猴子
1022,monkey_yellow,黄色猴子
1023,rabbit,兔子叫
1024,rabbit_red,红色兔子
1025,rabbit_green,绿色兔子
1026,rabbit_yellow,黄色兔子
1027,dasanyuan_lion,大三元恭喜中狮子一一旋转结束时播放
1028,dasanyuan_panda,大三元中熊猫一一同上
1029,dasanyuan_monkey,大三元中猴子一一同上
1030,dasanyuan_rabbit,大三元中兔子一一同上
1031,color_r,大四喜恭喜中红色一一旋转结束播
1032,color_y,大四喜中黄一一同上
1033,color_g,大四喜中绿一一同上
1034,prize_bonus,恭喜中彩金一一开始旋转前播放
1035,prize_double,恭喜中翻倍一一开始旋转前播放
1036,prize_light,恭喜中送灯跳枪一一开始旋转前播放
1037,click1,通用按钮音效
1038,click2,下注按钮音效
1039,Rotate_Colour,色块旋转切换时音效
1040,Rotate_xishuashua,嘻唰唰翻倍旋转时背景音效
1041,Rotate_Caijin,彩金旋转时背景音效
