MultipleID,RLionMultipe,GLionMultipe,YLionMultipe,RPandaMultipe,GPandaMultipe,YPandaMultipe,RMonkeyMultipe,GMonkeyMultipe,YMonkeyMultipe,RRabbitMultipe,GRabbitMultipe,YRabbitMultipe,RedNum,GreenNum,YellowNum
赔率ID,红狮子赔率,绿狮子赔率,黄狮子赔率,红熊猫赔率,绿熊猫赔率,黄熊猫赔率,红猴子赔率,绿猴子赔率,黄猴子赔率,红兔子赔率,绿兔子赔率,黄兔子赔率,红色数量,绿色数量,黄色数量
1,46,40,25,23,20,12,13,11,7,8,7,4,6,7,11
2,46,25,40,23,12,20,13,7,11,8,4,7,6,11,7
3,46,35,28,23,17,14,13,10,8,8,6,5,6,8,10
4,46,28,35,23,14,17,13,8,10,8,5,6,6,10,8
5,40,25,46,20,12,23,11,7,13,7,4,8,7,11,6
6,40,46,25,20,23,12,11,13,7,7,8,4,7,6,11
7,40,35,31,20,17,15,11,10,8,7,5,5,7,8,9
8,40,31,35,20,15,17,11,8,10,7,5,6,7,9,8
9,35,28,46,17,14,23,10,8,13,6,5,8,8,10,6
10,35,46,28,17,23,14,10,13,8,6,8,5,8,6,10
11,35,40,31,17,20,15,10,11,8,6,7,5,8,7,9
12,35,31,40,17,15,20,10,8,11,6,5,7,8,9,7
13,31,35,40,15,17,20,8,10,11,5,6,7,9,8,7
14,31,40,35,15,20,17,8,11,10,5,7,6,9,7,8
15,28,35,46,14,17,23,8,10,13,5,6,8,10,8,6
16,28,46,35,14,23,17,8,13,10,5,8,6,10,6,8
17,25,46,40,12,23,20,7,13,11,4,8,7,11,6,7
18,25,40,46,12,20,23,7,11,13,4,7,8,11,7,6
