AudioID,AudioName,Explain,Explain1
音频ID,音频名称,语音内容,播放时机
1001,MusicEx_Welcome,背景音乐,大厅播放
1002,MusicEx_Normal,背景音乐,游戏背景音乐
1003,MusicEx_Normal2,背景音乐,游戏背景音乐剩余两张牌
1004,MusicEx_Exciting,炸弹后背景音乐,出炸弹后背景音乐换
1005,MusicEx_Lose,失败音乐,结算播放
1006,MusicEx_Win,胜利音乐,结算播放
1082,CardRotate,不铃铃铃,特效——顺子连队特效时播放
1083,Special_alert,报警声,特效——剩余张数报警特效播放
1084,Special_Bomb_New,爆炸,特效——炸弹音效
1085,Special_Chuntian,春天,特效——春天时播放
1086,Special_Long_Bomb,火箭,特效——火箭时播放
1087,Special_plane,飞机,特效——飞机飞过
1088,Special_Dispatch,发牌,发牌时播放
1089,21_button_01,按钮,按钮音效
1090,doudizhu_pai,啪,拍打出去落下时播放
23000,Man_Chat_0,大家好很高兴见到各位,预设聊天内容配音按钮0
23001,Man_Chat_5,怎么又断线了，网络怎么这么差啊,预设聊天内容配音按钮1
23002,Man_Chat_1,和你合作实在是太愉快了,预设聊天内容配音按钮2
23003,Man_Chat_2,快点吧，我等的花都谢了,预设聊天内容配音按钮3
23004,Man_Chat_6,各位真不好意思，我要离开一会,预设聊天内容配音按钮4
23005,Man_Chat_8,你是MM还是GG,预设聊天内容配音按钮5
23006,Man_Chat_3,你的牌打得也太好了,预设聊天内容配音按钮6
23007,Man_Chat_9,交个朋友把,预设聊天内容配音按钮7
23008,Man_Chat_10,再见了，我会想念大家的,预设聊天内容配音按钮8
23009,Man_Chat_7,不要走，决战到天亮,预设聊天内容配音按钮9
23010,Man_Chat_4,不要吵，专心玩游戏把,预设聊天内容配音按钮10
1007,Man_ScoreNoOrder,不叫,叫分时播放
1008,Man_ScoreOrder1,一分,叫分时播放
1009,Man_ScoreOrder2,两分,叫分时播放
1010,Man_ScoreOrder3,三分,叫分时播放
1011,Man_Share,明牌,明牌时播放
1012,Man_14,小王,单牌播放
1013,Man_15,大王,单牌播放
1014,Man_1,A,单牌播放
1015,Man_2,2,单牌播放
1016,Man_3,3,单牌播放
1017,Man_4,4,单牌播放
1018,Man_5,5,单牌播放
1019,Man_6,6,单牌播放
1020,Man_7,7,单牌播放
1021,Man_8,8,单牌播放
1022,Man_9,9,单牌播放
1023,Man_10,10,单牌播放
1024,Man_11,J,单牌播放
1025,Man_12,Q,单牌播放
1026,Man_13,K,单牌播放
1027,Man_dui1,对A,一对牌播放
1028,Man_dui2,对2,一对牌播放
1029,Man_dui3,对3,一对牌播放
1030,Man_dui4,对4,一对牌播放
1031,Man_dui5,对5,一对牌播放
1032,Man_dui6,对6,一对牌播放
1033,Man_dui7,对7,一对牌播放
1034,Man_dui8,对8,一对牌播放
1035,Man_dui9,对9,一对牌播放
1036,Man_dui10,对10,一对牌播放
1037,Man_dui11,对J,一对牌播放
1038,Man_dui12,对Q,一对牌播放
1039,Man_dui13,对K,一对牌播放
1040,Man_tuple1,三个A,三张牌播放
1041,Man_tuple2,三个2,三张牌播放
1042,Man_tuple3,三个3,三张牌播放
1043,Man_tuple4,三个4,三张牌播放
1044,Man_tuple5,三个5,三张牌播放
1045,Man_tuple6,三个6,三张牌播放
1046,Man_tuple7,三个7,三张牌播放
1047,Man_tuple8,三个8,三张牌播放
1048,Man_tuple9,三个9,三张牌播放
1049,Man_tuple10,三个10,三张牌播放
1050,Man_tuple11,三个J,三张牌播放
1051,Man_tuple12,三个Q,三张牌播放
1052,Man_tuple13,三个K,三张牌播放
1053,Man_wangzha,王炸,组合王炸
1054,Man_zhadan,炸弹,组合炸弹
1055,Man_feiji,飞机,组合飞机播放
1056,Man_shunzi,顺子,组合顺子播放
1057,Man_liandui,连队,组合连对播放
1058,Man_sandaiyi,三带一,组合三带一播放
1059,Man_sandaiyidui,三带一对,组合三带一对播放
1060,Man_sidaier,四带二,组合四带二播放
1061,Man_sidailiangdui,四带两对,组合四带两对播放
1062,Man_buyao1,不要,不要牌从4个语音中随机播一个
1063,Man_buyao2,pass,不要牌从4个语音中随机播一个
1064,Man_buyao3,过,不要牌从4个语音中随机播一个
1065,Man_buyao4,要不起,不要牌从4个语音中随机播一个
1066,Man_dani1,大你,跟牌时从3个语音中随机播放
1067,Man_dani2,管上,跟牌时从3个语音中随机播放
1068,Man_dani3,压死,跟牌时从3个语音中随机播放
1080,Man_baojing1,我就一张牌了,报警剩余1张牌时播放
1081,Man_baojing2,我就两张牌了,报警剩余2张牌时播放
24000,nv_Chat_0,大家好很高兴见到各位,预设聊天内容配音按钮0
24001,nv_Chat_5,怎么又断线了，网络怎么这么差啊,预设聊天内容配音按钮1
24002,nv_Chat_1,和你合作实在是太愉快了,预设聊天内容配音按钮2
24003,nv_Chat_2,快点吧，我等的花都谢了,预设聊天内容配音按钮3
