GameID,GameName,GameIcon,SceneName,SceneAssetbundleName,ReasoourceAssetbundleName,visible,SceneAssetbundleSize,ComAssetbundle,GameTextIcon
游戏ID,游戏名称,游戏图标这是个prefab,场景名,场景AB包的名称,场景资源包的名称,是否可见,场景AB包的大小,通用包,游戏文字图标
0,城市车行,Game_Icon_csch,CarMainScene,car.scene,car.resource,1,7,0,0
2,水果连线,Game_Icon_sglx,SlotsScene,slots.scene,slots.resource,1,4.5,0,0
3,森林舞会,Game_Icon_slwh,ForestPartyScene,forestparty.scene,forestparty.resource,1,10,0,0
4,21点,Game_Icon_bjk,BlackjackScene,blackjack.scene,blackjack.resource,1,14,0,0
5,五子棋,Game_Icon_wzq,FiveScene,five.scene,five.resource,1,6,0,0
6,德州,Game_Icon_DZ,DeZhouScene,dz.scene,dz.resource,1,15,0,0
7,斗地主,Game_Icon_ddz,DouDiZhuScene,doudizhu.scene,doudizhu.resource,1,19,pokercommon.resource,bs_NameIcon_7
8,欢乐斗牛,Game_Icon_niu2,Niu2Scene,niu2.scene,niu2.resource,1,4,0,0
9,欢乐角斗士,Game_Icon_niu5,Niu5Scene,niu5.scene,niu5.resource,1,4,0,0
10,捕鱼,Game_Icon_fishing,FishingScene,fishing.scene,fishing.resource,1,44,0,0
11,抢庄牛牛,Game_Icon_niu0,Niu0Scene,niu0.scene,niu0.resource,1,4,0,0
12,血战到底,Game_Icon_mahjong,MahjongScene,mahjong.scene,mahjong.resource,1,22,0,bs_NameIcon_mjx
13,掼蛋,Game_Icon_GuanDan,GuanDanScene,guandan.scene,guandan.resource,1,24,pokercommon.resource,bs_NameIcon_13
14,盐城麻将,Game_Icon_mahjong_YC,MahjongScene,mahjong.scene,mahjong.resource,1,22,0,bs_NameIcon_mjxYC
15,常州麻将,Game_Icon_mahjong_CZ,MahjongScene,mahjong.scene,mahjong.resource,1,22,0,bs_NameIcon_mjxCZ
16,转盘,Game_Icon_Lucky,LuckyScene,lucky.scene,lucky.resource,1,9,0,0
17,够级,Game_Icon_Gouji,GoujiScene,gouji.scene,gouji.resource,1,15,pokercommon.resource,bs_NameIcon_gouji
18,红中麻将,Game_Icon_mahjong_HZ,MahjongScene,mahjong.scene,mahjong.resource,1,22,0,bs_NameIcon_mjxHZ
19,答题,Game_Icon_answer,AnswerScene,answer.scene,answer.resource,1,13,0,bs_NameIcon_answer
20,象棋,Game_Icon_chess,ChessScene,chess.scene,chess.resource,1,6,0,bs_NameIcon_chess
99,炸金花,Game_Icon_JinHua,JinHuaScene,jinhua.scene,jinhua.resource,1,4,pokercommon.resource,0
