组ID,ItemID,Type,ItemNum,Image,Name,Odds
GroupID,物品ID,类型,物品数量,图片,名称,中奖概率
1,1,0,0,bs_icon_06,谢谢惠顾,200
1,2,1,50,bs_icon_04,20钻,200
1,3,1,100,bs_icon_03,50钻,120
1,4,2,200,bs_icon_06,10红包,200
1,5,2,500,bs_icon_04,20红包,150
1,1100,3,75,bs_icon_03,热水壶,60
1,1101,3,100,bs_icon_06,加湿器,50
1,1102,3,150,bs_icon_04,火锅劵,20
2,1,0,0,bs_icon_03,谢谢惠顾,200
2,2,1,50,bs_icon_06,20钻,200
2,3,1,100,bs_icon_04,50钻,120
2,4,2,200,bs_icon_03,10红包,200
2,5,2,500,bs_icon_06,20红包,150
2,1100,3,75,bs_icon_04,热水壶,60
2,1101,3,100,bs_icon_03,加湿器,50
2,1102,3,150,bs_icon_06,火锅劵,20
3,1,0,0,bs_icon_04,谢谢惠顾,200
3,2,1,50,bs_icon_03,20钻,200
3,3,1,100,bs_icon_06,50钻,120
3,4,2,200,bs_icon_04,10红包,200
3,5,2,500,bs_icon_03,20红包,150
3,1100,3,75,bs_icon_06,热水壶,60
3,1101,3,100,bs_icon_04,加湿器,50
3,1102,3,150,bs_icon_03,火锅劵,20
