TextID,Text,18
名次ID,文字,红中名词区别
0,平胡,
1,七对,
2,龙七对,
3,对对胡,
4,清一色,
5,将对,
6,金钩钓,
7,十八罗汉,
8,带幺九,
9,断幺九,
10,门清,
11,断门,
12,一条龙,
13,磴字,
14,黑字,
15,起手叫听,
16,压档,
17,对倒,
18,大吊车,
20,杠上开花,
21,抢杠胡,
22,杠后炮,
23,天胡,
24,地胡,
25,打飞机,
26,听牌点炮,
27,飞听自摸,
32,根,
102,刮风,杠
103,刮风,补杠
104,下雨,暗杠
105,点炮,
106,自摸,
107,退税,
108,查大叫,
109,查花猪,
110,呼叫转移,
111,花牌,
112,七对,
113,龙七对,
114,对对胡,
115,清一色,
116,将对,
117,金钩钓,
118,十八罗汉,
119,带幺九,
120,断幺九,
121,门清,
122,断门,
123,一条龙,
124,磴字,
125,黑字,
126,起手叫听,
127,压档,
128,对倒,
129,大吊车,
130,幺九花,
131,杠上开花,
132,抢杠胡,
133,杠后炮,
134,天胡,
135,地胡,
136,打飞机,
137,听牌点炮,
138,飞听自摸,
139,加价局,
140,全大元,
141,大大元,
142,混一色,
143,冷门,
144,四原子,
145,套花齐,
146,擦背,
147,包三口,
148,包四口,
149,花开,
150,包三家,
151,抓鸟,
