tipID,Title,Text,Explain
tipID,标题,tips内容,备注各区间有标注不要冲突
1000,系统,正在重新连接，请耐心等耐,系统提示
1001,系统,游戏加载中，此过程不会消耗流量,系统提示
1002,系统,验证码输入错误,系统提示
1003,系统,请输入正确的手机号码,系统提示
1004,系统,验证成功,系统提示
1005,系统,该手机号码已绑定，无法重复绑定,系统提示
1006,系统,您正在使用游客模式进行游戏，切换账号后可能会导致您当前的游戏数据（包括付费数据）丢失，请先绑定手机账号，然后再切换账号。,系统提示
1007,系统,请先阅读并同意游戏协议,系统提示
1008,系统,登陆中…,系统提示
1009,系统,该账号已绑定手机号码,系统提示
1010,系统,微信未安装,系统提示
1011,系统,您已下注，暂时无法退出，请耐心等候开奖结果，以免错过大奖哦！,系统提示
1012,系统,绑定成功,系统提示
1013,系统,与服务器断开连接，点击确认重新连接,系统提示
1014,系统,数据刷新，请稍候…,系统提示
1015,系统,帐号已经在其它设备登录,系统提示
1016,系统,资源更新中，请稍候…,系统提示
1017,系统,长时间未下注，已被移出房间,车行
1018,系统,与服务器断开连接，点击确认返回登录界面,车行
1019,系统,版本过低，请更新版本,车行
1020,系统,进入游戏失败，请稍后再试,车行
1021,系统,邀请码绑定成功,邀请码
1022,系统,邀请码绑定失败,邀请码
1023,系统,帐号异常，详情请前往\n来赛吧微信公众号咨询,封号提示
1024,系统,游戏不是最新版本，请先更新游戏,比赛报名更新提示
1025,系统,下载中{0},比赛报名更新提示
1026,系统,是否愿意以替补身份重新进入比赛？,比赛替补提示
1027,系统,当前查询玩家没有游戏录像!,系统提示
1100,商城,是否确定购买？,11xx商城提示信息
1101,商城,购买成功,商城
1102,商城,钻石不足，请前往商城充值,商城
1103,商城,奖券不足,商城
1104,商城,支付验证失败,商城
1105,商城,商品库存不足,商城
1106,商城,钻石不足，是否去充值？,商城
1107,商城,购买中请稍候…,商城
1108,商城,为了保证您的虚拟财产安全，请先绑定手机后再进行充值操作，是否现在进行绑定？,商城
1109,商城,新手礼包与三合一礼包不能同时购买,商城
1110,商城,每个礼包只能购买一次,商城
1111,商城,请再次确认订单信息,商城
1112,商城,请输入正确的手机号码,商城
1113,商城,已成功兑换<color=#FF8C00>{0}</color>，请耐心等待客服处理，也可通过订单列表中查询订单状态。,商城
1114,商城,兑换实物所需货币不足,商城
1200,俱乐部,恭喜你成功加入俱乐部,12xx俱乐部提示信息
1201,俱乐部,需要达到VIP3(累计充值1000元)才可以创建俱乐部,俱乐部
1202,俱乐部,创建成功,俱乐部
1203,俱乐部,资助成功,俱乐部
1204,俱乐部,资助失败，未找到指定玩家,俱乐部
1205,俱乐部,是否确定踢出符合条件的俱乐部成员？,俱乐部
1206,俱乐部,未找到对应的玩家,俱乐部
1207,俱乐部,未找到对应的俱乐部,俱乐部
1208,俱乐部,俱乐部名称已存在,俱乐部
1209,俱乐部,创建俱乐部需要绑定手机,俱乐部
1210,俱乐部,解散俱乐部需要验证手机,俱乐部
1211,俱乐部,该俱乐部不存在,俱乐部
1212,俱乐部,俱乐部已解散,俱乐部
1213,俱乐部,设置成功,俱乐部
1214,俱乐部,加入条件不符,俱乐部
1215,俱乐部,是否确定退出俱乐部,俱乐部
1216,俱乐部,是否确定解散俱乐部,俱乐部
1217,俱乐部,资助失败，金币不足,俱乐部
1218,俱乐部,资助失败，对方不在线,俱乐部
1219,俱乐部,加入失败，俱乐部人数已达到上限,俱乐部
1220,俱乐部,名称存在非法字符，请重新输入,俱乐部
1221,俱乐部,名称过长，最多使用6个字,俱乐部
1222,俱乐部,资助数值必须大于零,俱乐部
1223,俱乐部,俱乐部宣言最多不能超多150字,俱乐部
1224,俱乐部,资助失败，持有金币数量低于{0}不能资助,俱乐部
1225,俱乐部,资助失败，对方今日被资助金额已达到上限：{0},俱乐部
1226,俱乐部,你已被踢出俱乐部,俱乐部
1227,俱乐部,暂无可加入的俱乐部,俱乐部
1228,俱乐部,不能资助自己,俱乐部
1229,俱乐部,名称不能为空,俱乐部
1300,系统,昵称修改成功,13xx个人中心提示信息
1301,系统,昵称已存在，请重新输入,个人中心
1302,系统,密码不正确,个人中心
1303,系统,欢迎使用保险箱功能，请先绑定手机,个人中心
1304,系统,存入成功,个人中心
1305,系统,取出成功,个人中心
1306,系统,昵称过长，请重新输入,个人中心
1307,系统,是否要清空所有资助记录,个人中心
1308,系统,是否要删除该条资助记录,个人中心
1309,系统,资助失败，金币大于50000才能使用该功能,俱乐部
1310,系统,资助失败，金币不足,俱乐部
1400,系统,您已绑定过激活码,活动
1401,系统,该激活码已被绑定过,活动
1402,系统,激活码无效,活动
1500,系统,发布消息需要花费{0}钻石，是否继续？,喇叭
1501,系统,钻石不足，请前往商城充值,喇叭
1502,系统,消息发布成功,喇叭
1503,系统,每条消息最多30个字,喇叭
1504,系统,您来晚了，红包已被抢光,红包
1505,系统,活动未开启，请稍候,红包
1506,系统,发布消息内容不能为空,喇叭
1507,系统,兑换成功,红包
1508,系统,红包金额不足,红包
1600,系统,本轮比赛时间已结束，该局比赛已被强制解散，本轮积分维持不变,比赛
1601,系统,取消{0}失败,比赛
1602,系统,取消{0}成功,比赛
1603,系统,是否要放弃比赛,比赛
1604,系统,{0}报名人数不足，比赛已解散,比赛
1605,系统,参赛人数不足，比赛已解散,比赛
1606,系统,进入失败，比赛进入时间已结束,比赛
1607,系统,报名失败，信誉分或大师分不足,比赛
1608,系统,报名失败，门票数量不足,比赛
1609,系统,报名失败，钻石数量不足,比赛
1610,系统,报名失败，比赛不存在,比赛
1611,系统,报名失败，比赛已开始,比赛
1612,系统,重购失败,比赛
1613,系统,恭喜你获得{0}替补资格，可以继续比赛赢取奖励，是否接受邀请？{1},比赛
1614,系统,替补失败，已有其他玩家进入替补。,比赛
1615,系统,替补失败，替补时间已过,比赛
1616,系统,替补失败，比赛已经结束,比赛
1617,系统,创建房间失败，钻石不足,房间模式
1618,系统,创建房间失败，角色数据异常,房间模式
1619,系统,房间不存在,房间模式
1620,系统,房间已满，无法进入,房间模式
