StartTime,PathID,FishID,IsArray,FishNum,Intervals,comment
开始时间,路径ID,鱼ID,是否鱼阵,生成鱼数目,间隔时间,备注
20,1,1,0,5,0.3,小鱼左边螺旋上升
40,2,1,0,6,0.3,小鱼左边转圈回去
70,3,1,0,5,0.3,小鱼右边螺旋上升
90,4,1,0,6,0.3,小鱼右边转圈回去
125,1,1,0,5,0.3,小鱼左边螺旋上升
140,2,1,0,6,0.3,小鱼左边转圈回去
163,3,1,0,5,0.3,小鱼右边螺旋上升
180,4,1,0,6,0.3,小鱼右边转圈回去
1,5,1,0,3,0.5,簇拥1
19,5,1,0,3,0.5,簇拥1
37,5,1,0,3,0.5,簇拥1
55,5,1,0,3,0.5,簇拥1
73,5,1,0,3,0.5,簇拥1
91,5,1,0,3,0.5,簇拥1
109,5,1,0,3,0.5,簇拥1
127,5,1,0,3,0.5,簇拥1
145,5,1,0,3,0.5,簇拥1
173,5,1,0,3,0.5,簇拥1
5,24,1,0,4,0.5,簇拥2
23,24,1,0,3,0.5,簇拥2
41,24,1,0,3,0.5,簇拥2
59,24,1,0,4,0.5,簇拥2
77,24,1,0,3,0.5,簇拥2
95,24,1,0,3,0.5,簇拥2
113,24,1,0,4,0.5,簇拥2
131,24,1,0,3,0.5,簇拥2
149,24,1,0,3,0.5,簇拥2
177,24,1,0,3,0.5,簇拥2
9,25,1,0,3,0.5,簇拥3
27,25,1,0,3,0.5,簇拥3
45,25,1,0,4,0.5,簇拥3
63,25,1,0,3,0.5,簇拥3
81,25,1,0,3,0.5,簇拥3
99,25,1,0,3,0.5,簇拥3
117,25,1,0,4,0.5,簇拥3
135,25,1,0,3,0.5,簇拥3
153,25,1,0,3,0.5,簇拥3
1,25,1,0,3,0.5,簇拥3
13,26,1,0,4,0.5,簇拥4
31,26,1,0,3,0.5,簇拥4
49,26,1,0,3,0.5,簇拥4
67,26,1,0,4,0.5,簇拥4
85,26,1,0,3,0.5,簇拥4
103,26,1,0,3,0.5,簇拥4
121,26,1,0,4,0.5,簇拥4
139,26,1,0,3,0.5,簇拥4
157,26,1,0,3,0.5,簇拥4
5,26,1,0,3,0.5,簇拥4
1,21,1,0,4,0.5,组合1
2,22,1,0,4,0.5,组合2
4,23,1,0,4,0.5,组合3
51,21,2,0,3,1,组合1
54,22,2,0,3,1,组合2
57,23,2,0,3,1,组合3
101,21,1,0,4,0.5,组合1
102,22,1,0,4,0.5,组合2
104,23,1,0,4,0.5,组合3
151,21,2,0,3,1,组合1
154,22,2,0,3,1,组合2
157,23,2,0,3,1,组合3
5,7,5,0,1,,5海龟
25,8,5,0,1,,5海龟
45,9,5,0,1,,5海龟
65,10,5,0,1,,5海龟
85,11,5,0,1,,5海龟
105,12,5,0,1,,5海龟
125,13,5,0,1,,5海龟
145,14,5,0,1,,5海龟
160,11,5,0,1,,5海龟
180,9,5,0,1,,5海龟
2,15,9,0,1,,9冰鱼
8,16,9,0,1,,9冰鱼
14,17,9,0,1,,9冰鱼
20,18,9,0,1,,9冰鱼
26,19,9,0,1,,9冰鱼
32,20,9,0,1,,9冰鱼
38,27,9,0,1,,9冰鱼
44,28,9,0,1,,9冰鱼
50,15,9,0,1,,9冰鱼
56,16,9,0,1,,9冰鱼
62,17,9,0,1,,9冰鱼
68,18,9,0,1,,9冰鱼
74,19,9,0,1,,9冰鱼
80,20,9,0,1,,9冰鱼
86,27,9,0,1,,9冰鱼
92,28,9,0,1,,9冰鱼
98,15,9,0,1,,9冰鱼
104,16,9,0,1,,9冰鱼
110,17,9,0,1,,9冰鱼
116,18,9,0,1,,9冰鱼
122,19,9,0,1,,9冰鱼
128,20,9,0,1,,9冰鱼
134,27,9,0,1,,9冰鱼
140,28,9,0,1,,9冰鱼
146,15,9,0,1,,9冰鱼
152,16,9,0,1,,9冰鱼
158,17,9,0,1,,9冰鱼
164,18,9,0,1,,9冰鱼
170,19,9,0,1,,9冰鱼
