PathID,Prefab,Speed,Time,Loop,offset,SpeedUp,comment,TimeOff,FishNum,Intervals
路径ID,资源,路自身移动速度（负数为向左）,时长（秒）,是否循环,偏移,加速开始点|停或倍率|时间或结束点,备注,存活时间,生成鱼数目,间隔时间
101,line_huang_01,0,0,0,,,小黄鱼,8.35,5,0.5
102,line_huang_03,0,0,0,,,小黄鱼,8.48,5,0.5
103,line_huang_05,0,0,0,0|0|0@2|3|0@5|1|0,,小黄鱼,7.3,3,0
104,line_huang_06,0,0,0,0|0|0@2|3|0@5|1|0,,小黄鱼,7.92,3,0
105,line_huang_07,0,0,0,0|0|0@2|3|0@8|2|0,,小黄鱼,7.38,3,0
106,line_huang_08,0,0,0,0|0|0@2|3|0@8|2|0,,小黄鱼,7.5,3,0
201,line_xiao1_01,0,0,0,,,小鱼屎黄色,6.66,4,0.4
202,line_xiao1_02,0,0,0,,,小鱼屎黄色,7.46,5,0.4
203,line_xiao1_03,0,0,0,,,小鱼屎黄色,7.26,4,0.4
204,line_xiao1_04,0,0,0,,,小鱼屎黄色,7.5,4,0.4
301,line_xiao2_01,0,0,0,,,小鱼大眼,7.4,3,0.4
302,line_xiao2_02,0,0,0,,,小鱼大眼,8.29,4,0.4
303,line_xiao2_03,0,0,0,,,小鱼大眼,8.07,5,0.4
304,line_xiao2_04,0,0,0,,,小鱼大眼,8.39,4,0.4
305,line_xiao2_01,0,0,0,0|0|0@2|3|0@5|1|0,,小鱼大眼,7.4,3,0
306,line_xiao2_02,0,0,0,0|0|0@2|3|0@5|1|0,,小鱼大眼,8.29,3,0
307,line_xiao2_03,0,0,0,0|0|0@2|3|0@5|2|0,,小鱼大眼,8.07,2,0
308,line_xiao2_04,0,0,0,0|0|0@2|3|0@4|1|0,,小鱼大眼,8.39,2,0
401,line_huang_02,0,0,0,,,蝴蝶鱼,19.04,3,0.5
402,line_huang_04,0,0,0,,,蝴蝶鱼,17.83,3,0.5
403,line_huang_05,0,0,0,,,蝴蝶鱼,8.11,4,0.5
404,line_huang_06,0,0,0,,,蝴蝶鱼,8.8,4,0.5
405,line_huang_07,0,0,0,,,蝴蝶鱼,8.21,3,0.5
406,line_huang_08,0,0,0,,,蝴蝶鱼,8.33,3,0.5
501,line_xiao4_01,0,0,0,0|0|0@-4|-3|0@-6|3|0,,大头鱼蓝,8.24,2,0
