AudioID,AudioName,Explain,Explain1
音频ID,音频名称,语音内容,播放时机
1001,game_bg2,背景音乐,背景音乐
1002,btn_click,按钮音效,点击按钮播放
1003,chose_card,发牌音效,牌落下时播放
1004,zhuang,提示音效,成功做庄时播放
1005,gamestart,游戏开始,每一局开始下注时播放
1006,win,赢钱音效,结算时获得筹码音效
1007,niu_chouma,筹码移动音效,筹码移动音效
1008,niu0,没牛,亮牌时播放
1009,niu1,牛一,亮牌时播放
1010,niu2,牛二,亮牌时播放
1011,niu3,牛三,亮牌时播放
1012,niu4,牛四,亮牌时播放
1013,niu5,牛五,亮牌时播放
1014,niu6,牛六,亮牌时播放
1015,niu7,牛七,亮牌时播放
1016,niu8,牛八,亮牌时播放
1017,niu9,牛九,亮牌时播放
1018,niu10,牛牛,亮牌时播放
1019,niu11,四花,亮牌时播放
1020,niu12,自炸四炸,亮牌时播放
1021,niu13,五花,亮牌时播放
1022,niu14,五小,亮牌时播放
1023,jiesuan_tongsha,通杀,通杀动画时播放
1024,jiesuan_tongpei,通赔,通赔动画时播放
