FruitID,FruitName,FruitIcon,CommonRate,BottomRate,TopRate,Multi_3rd,Multi_4th,Multi_5th,Multi_All
水果ID,水果名字,水果ICON,常规概率,抽水概率,放水概率,3个倍数,4个倍数,5个倍数,全屏倍数
1,大七,icon_sg_ttq,40,30,60,50,200,1000,2500
2,樱桃,icon_sg_yt,65,60,75,20,80,400,1000
3,西瓜,icon_sg_xg,80,80,85,15,40,200,500
4,香蕉,icon_sg_tg,105,100,110,10,30,160,400
5,苹果,icon_sg_pg,125,125,130,7,20,100,250
6,葡萄,icon_sg_bl,145,170,150,5,15,60,150
7,橘子,icon_sg_nm,190,195,165,3,10,40,100
8,茄子,icon_sg_lm,200,200,160,2,5,20,50
9,钻石,icon_sg_zs,50,40,65,0,0,2000,5000
