AudioID,AudioName,Explain,Explain1
音频ID,音频名称,音频内容,播放时间
1001,GD_BG,背景音乐,游戏背景音乐
1002,GJ_Result_lose,结算胜利,结算播放
1003,GJ_Result_win,结算失败,结算播放
1004,GJ_Result_ping,结算平,结算播放
1005,GJ_fapai,发牌,发牌时循环播放
1006,GJ_button_01,按钮,按钮音效
1007,Special_alert,报警声,自己出牌倒计时5秒播放
1008,chupai_1,出牌,出普通牌播放
1009,chupai_2,出牌,出够级牌播放
1010,xing_beimen,被闷3,被闷3
1011,xing_kaidian,开点,开点成功时
1012,xing_ke1,头科,获得头科时播放
1013,xing_ke2,二科,获得二科时播放
1014,xing_shao,烧牌,点击烧牌按钮后播放
1015,GJ_sha21,2杀1,大王2杀1时播放
1101,chat_1,这牌打得好！,预设聊天内容配音按钮1
1102,chat_2,你打牌真磨叽！,预设聊天内容配音按钮2
1103,chat_3,别着急，我想想。,预设聊天内容配音按钮3
1104,chat_4,你怎么乱出牌？,预设聊天内容配音按钮4
1105,chat_5,完了，出错牌了。,预设聊天内容配音按钮5
1106,chat_6,要不起，你们上。,预设聊天内容配音按钮6
1107,chat_7,再不压，他就跑了。,预设聊天内容配音按钮7
1108,chat_8,头科是我的，不要和我抢。,预设聊天内容配音按钮8
1109,chat_9,不会打还喜欢瞎指挥。,预设聊天内容配音按钮9
1110,chat_10,你宣我点试试！,预设聊天内容配音按钮10
1111,chat_11,我这牌你还想开点？,预设聊天内容配音按钮11
1112,chat_12,谁出够级牌试试，看我不烧烂你！,预设聊天内容配音按钮12
1113,chat_13,完了完了，又开不了点了。,预设聊天内容配音按钮13
2001,GD_BG,背景音乐,游戏背景音乐
2002,GJ_Result_lose,结算胜利,结算播放
2003,GJ_Result_win,结算失败,结算播放
2004,GJ_Result_ping,结算平,结算播放
2005,GJ_fapai,发牌,发牌时循环播放
2006,GJ_button_01,按钮,按钮音效
2007,Special_alert,报警声,自己出牌倒计时5秒播放
2008,nv_chupai_1,出牌,出普通牌播放
2009,nv_chupai_2,出牌,出够级牌播放
2010,nv_xing_beimen,被闷3,被闷3
2011,nv_xing_kaidian,开点,开点成功时
2012,nv_xing_ke1,头科,获得头科时播放
2013,nv_xing_ke2,二科,获得二科时播放
2014,nv_xing_shao,烧牌,点击烧牌按钮后播放
2015,GJ_sha21,2杀1,大王2杀1时播放
2101,nv_chat_1,这牌打得好！,预设聊天内容配音按钮1
2102,nv_chat_2,你打牌真磨叽！,预设聊天内容配音按钮2
2103,nv_chat_3,别着急，我想想。,预设聊天内容配音按钮3
2104,nv_chat_4,你怎么乱出牌？,预设聊天内容配音按钮4
2105,nv_chat_5,完了，出错牌了。,预设聊天内容配音按钮5
2106,nv_chat_6,要不起，你们上。,预设聊天内容配音按钮6
2107,nv_chat_7,再不压，他就跑了。,预设聊天内容配音按钮7
2108,nv_chat_8,头科是我的，不要和我抢。,预设聊天内容配音按钮8
2109,nv_chat_9,不会打还喜欢瞎指挥。,预设聊天内容配音按钮9
2110,nv_chat_10,你宣我点试试！,预设聊天内容配音按钮10
2111,nv_chat_11,我这牌你还想开点？,预设聊天内容配音按钮11
2112,nv_chat_12,谁出够级牌试试，看我不烧烂你！,预设聊天内容配音按钮12
2113,nv_chat_13,完了完了，又开不了点了。,预设聊天内容配音按钮13
