AudioID,AudioName,Explain,Explain1
音频ID,音频名称,音频内容,播放时间
1001,GD_BG,背景音乐,游戏背景音乐
1002,GDJiesuan_lose,失败音乐,结算播放
1003,GDJiesuan_win,胜利音乐,结算播放
1004,Special_Dispatch,发牌,发牌时循环播放
1005,21_button_01,按钮,按钮音效
1006,doudizhu_pai,啪,牌打出去落下时播放
1007,Special_alert,报警声,出牌倒计时5秒播放
1008,texiao_CardRotate,不铃铃铃,特效——顺子连队特效时播放
1009,texiao_Bomb,爆炸,特效——炸弹音效
1010,,,
1011,,,
23000,Man_Chat_0,大家好很高兴见到各位,预设聊天内容配音按钮0
23001,Man_Chat_5,怎么又断线了，网络怎么这么差啊,预设聊天内容配音按钮1
23002,Man_Chat_1,和你合作实在是太愉快了,预设聊天内容配音按钮2
23003,Man_Chat_2,快点吧，我等的花都谢了,预设聊天内容配音按钮3
23004,Man_Chat_6,各位真不好意思，我要离开一会,预设聊天内容配音按钮4
23005,Man_Chat_8,你是MM还是GG,预设聊天内容配音按钮5
23006,Man_Chat_3,你的牌打得也太好了,预设聊天内容配音按钮6
23007,Man_Chat_9,交个朋友把,预设聊天内容配音按钮7
23008,Man_Chat_10,再见了，我会想念大家的,预设聊天内容配音按钮8
23009,Man_Chat_7,不要走，决战到天亮,预设聊天内容配音按钮9
23010,Man_Chat_4,不要吵，专心玩游戏把,预设聊天内容配音按钮10
1099,nan_Joke_1,一个小王,单牌播放
1100,nan_Joke_2,一个大王,单牌播放
1101,nan_dan_1,一个A,单牌播放
1102,nan_dan_2,一个2,单牌播放
1103,nan_dan_3,一个3,单牌播放
1104,nan_dan_4,一个4,单牌播放
1105,nan_dan_5,一个5,单牌播放
1106,nan_dan_6,一个6,单牌播放
1107,nan_dan_7,一个7,单牌播放
1108,nan_dan_8,一个8,单牌播放
1109,nan_dan_9,一个9,单牌播放
1110,nan_dan_10,一个10,单牌播放
1111,nan_dan_11,一个J,单牌播放
1112,nan_dan_12,一个Q,单牌播放
1113,nan_dan_13,一个K,单牌播放
1199,nan_Jokedui_1,对小王,一对牌播放
1200,nan_Jokedui_2,对大王,一对牌播放
1201,nan_dui_1,对A,一对牌播放
1202,nan_dui_2,对2,一对牌播放
1203,nan_dui_3,对3,一对牌播放
1204,nan_dui_4,对4,一对牌播放
1205,nan_dui_5,对5,一对牌播放
1206,nan_dui_6,对6,一对牌播放
1207,nan_dui_7,对7,一对牌播放
1208,nan_dui_8,对8,一对牌播放
1209,nan_dui_9,对9,一对牌播放
1210,nan_dui_10,对10,一对牌播放
1211,nan_dui_11,对J,一对牌播放
1212,nan_dui_12,对Q,一对牌播放
1213,nan_dui_13,对K,一对牌播放
1301,nan_san_1,三个A,三张牌播放
1302,nan_san_2,三个2,三张牌播放
1303,nan_san_3,三个3,三张牌播放
1304,nan_san_4,三个4,三张牌播放
1305,nan_san_5,三个5,三张牌播放
1306,nan_san_6,三个6,三张牌播放
1307,nan_san_7,三个7,三张牌播放
1308,nan_san_8,三个8,三张牌播放
1309,nan_san_9,三个9,三张牌播放
1310,nan_san_10,三个10,三张牌播放
1311,nan_san_11,三个J,三张牌播放
1312,nan_san_12,三个Q,三张牌播放
1313,nan_san_13,三个K,三张牌播放
1501,nan_san2_1,三个A带一对,三张牌播放
1502,nan_san2_2,三个2带一对,三张牌播放
1503,nan_san2_3,三个3带一对,三张牌播放
1504,nan_san2_4,三个4带一对,三张牌播放
1505,nan_san2_5,三个5带一对,三张牌播放
1506,nan_san2_6,三个6带一对,三张牌播放
