 ,AudioName,Explain
音频ID,音频名称,备注
1001,1tiao,语音-1条
1002,2tiao,语音-2条
1003,3tiao,语音-3条
1004,4tiao,语音-4条
1005,5tiao,语音-5条
1006,6tiao,语音-6条
1007,7tiao,语音-7条
1008,8tiao,语音-8条
1009,9tiao,语音-9条
1011,1wan,语音-1万
1012,2wan,语音-2万
1013,3wan,语音-3万
1014,4wan,语音-4万
1015,5wan,语音-5万
1016,6wan,语音-6万
1017,7wan,语音-7万
1018,8wan,语音-8万
1019,9wan,语音-9万
1021,1tong,语音-1筒
1022,2tong,语音-2筒
1023,3tong,语音-3筒
1024,4tong,语音-4筒
1025,5tong,语音-5筒
1026,6tong,语音-6筒
1027,7tong,语音-7筒
1028,8tong,语音-8筒
1029,9tong,语音-9筒
1031,zi_31,语音-东风
1032,zi_32,语音-南风
1033,zi_33,语音-西风
1034,zi_34,语音-北风
1035,zi_35,语音-红中
1036,zi_36,语音-发财
1037,zi_37,语音-白板
1501,tishi_chi,语音-吃
1502,tishi_peng,语音-碰
1503,tishi_gang,语音-杠
1504,tishi_ting,语音-听
1505,tishi_hu,语音-胡
1506,tishi_hu_zimo,语音-自摸
1507,tishi_guohu,语音-过胡
1508,tishi_buhua,语音-补花
1509,yx_anniu,吃两口
1510,ZN,扎鸟
2001,g_1tiao,语音-1条
2002,g_2tiao,语音-2条
2003,g_3tiao,语音-3条
2004,g_4tiao,语音-4条
2005,g_5tiao,语音-5条
2006,g_6tiao,语音-6条
2007,g_7tiao,语音-7条
2008,g_8tiao,语音-8条
2009,g_9tiao,语音-9条
2011,g_1wan,语音-1万
2012,g_2wan,语音-2万
2013,g_3wan,语音-3万
2014,g_4wan,语音-4万
2015,g_5wan,语音-5万
2016,g_6wan,语音-6万
2017,g_7wan,语音-7万
2018,g_8wan,语音-8万
2019,g_9wan,语音-9万
2021,g_1tong,语音-1筒
2022,g_2tong,语音-2筒
2023,g_3tong,语音-3筒
2024,g_4tong,语音-4筒
2025,g_5tong,语音-5筒
2026,g_6tong,语音-6筒
2027,g_7tong,语音-7筒
2028,g_8tong,语音-8筒
2029,g_9tong,语音-9筒
2031,g_dongfeng,语音-东风
2032,g_nanfeng,语音-南风
2033,g_xifeng,语音-西风
2034,g_beifeng,语音-北风
2035,g_hongzhong,语音-红中
2036,g_fa,语音-发财
2037,g_bai,语音-白板
2501,g_chi,语音-吃
2502,g_peng,语音-碰
2503,g_gang,语音-杠
2504,g_ting,语音-听
2505,g_hu1,语音-胡
2506,g_hu_zimo,语音-自摸
2507,g_guohu,语音-过胡
2508,g_buhua,语音-补花
2509,yx_anniu,吃两口
2510,g_ZN,扎鸟
3001,yx_touzi,音效开局投骰子时候播
3002,yx_chihushandian,音效胡牌特效同时播
3003,yx_deal,音效发牌出牌时先播这个后播语音
3004,yx_duijukaishi,音效游戏开始动画同时播
3005,yx_feidingque,音效定缺字飞到头顶
3006,yx_anniu,音效按钮点击
3007,yx_naozhong,音效出牌到时间5秒播
3008,BG_playingInGame,音乐背景音
